ID_EMPRESA;MATRICULA
1;000438
1;000462
1;000744
1;002135
1;002168
1;002753
1;002935
1;003954
1;004168
1;004171
1;004202
1;004223
1;004338
1;004340
1;004389
1;004495
1;004594
1;004754
1;004924
1;004977
1;005073
1;006461
1;007105
1;007720
1;008026
1;008041
1;008042
1;008092
1;009096
1;009439
1;010991
1;011117
1;011118
1;011119
1;011124
1;011172
1;011372
1;012080
1;012237
1;012273
1;012606
1;012920
1;012930
1;013024
1;013667
1;013987
1;014002
1;014178
1;014598
1;014621
1;014846
1;014848
1;015397
1;015710
1;015795
1;015838
1;016038
1;016323
1;016940
1;016972
1;017121
1;017576
1;018081
1;018552
1;019017
1;019173
1;019185
1;019493
1;019981
1;020005
1;020263
1;020264
1;020454
1;020457
1;020459
1;020538
1;020559
1;020566
1;020574
1;020602
1;020648
1;020670
1;020778
1;020892
1;020904
1;021109
1;021397
1;021407
1;021550
1;022337
1;022874
1;024144
1;024444
1;025393
1;025887
1;026216
1;027328
1;027372
1;027563
1;027916
1;028104
1;028432
1;028917
1;029885
1;029888
1;029913
1;029970
1;029976
1;029992
1;029995
1;029996
1;030007
1;030023
1;030100
1;030108
1;030126
1;030292
1;030310
1;030311
1;030354
1;030395
1;030401
1;030423
1;030431
1;030586
1;030600
1;030644
1;030731
1;030760
1;030846
1;030926
1;031076
1;031118
1;031123
1;031599
1;031934
1;031978
1;031981
1;031989
1;032013
1;032075
1;032136
1;032141
1;032155
1;032633
1;032634
1;032636
1;032643
1;032727
1;032909
1;033051
1;033123
1;033131
1;033181
1;033293
1;033466
1;033480
1;034009
1;034100
1;034146
1;034190
1;034196
1;034201
1;034226
1;034227
1;034245
1;034340
1;034368
1;034423
1;034424
1;034425
1;034426
1;034449
1;034712
1;034909
1;035003
1;035045
