ID_EMPRESA;ID_ALMOX;DATA_INICIAL;COD_PRODUTO;SALDO
1;4;01/01/1990 00:00;00475          ;0
1;4;01/01/1990 00:00;00480          ;0
1;4;01/01/1990 00:00;00482;0
1;4;01/01/1990 00:00;00483;0
1;4;01/01/1990 00:00;00530          ;0
1;4;01/01/1990 00:00;00531          ;0
1;4;01/01/1990 00:00;00533          ;0
1;4;01/01/1990 00:00;00534;0
1;4;01/01/1990 00:00;00540          ;0
1;4;01/01/1990 00:00;00541          ;0
1;4;01/01/1990 00:00;00780          ;0
1;4;01/01/1990 00:00;00840          ;0
1;4;01/01/1990 00:00;01320;0
1;4;01/01/1990 00:00;01485          ;0
1;4;01/01/1990 00:00;01487          ;0
1;4;01/01/1990 00:00;01535          ;0
1;4;01/01/1990 00:00;01541;0
1;4;01/01/1990 00:00;01543          ;0
1;4;01/01/1990 00:00;01565          ;0
1;4;01/01/1990 00:00;01569          ;0
1;4;01/01/1990 00:00;01570          ;0
1;4;01/01/1990 00:00;01608          ;0
1;4;01/01/1990 00:00;01611          ;0
1;4;01/01/1990 00:00;01617          ;0
1;4;01/01/1990 00:00;01632          ;0
1;4;01/01/1990 00:00;01696;0
1;4;01/01/1990 00:00;01704;0
1;4;01/01/1990 00:00;01705;0
1;4;01/01/1990 00:00;01706          ;0
1;4;01/01/1990 00:00;01711;0
1;4;01/01/1990 00:00;01712          ;0
1;4;01/01/1990 00:00;01796;0
1;4;01/01/1990 00:00;01817;0
1;4;01/01/1990 00:00;02060          ;0
1;4;01/01/1990 00:00;02081;0
1;4;01/01/1990 00:00;02208          ;0
1;4;01/01/1990 00:00;02217          ;0
1;4;01/01/1990 00:00;02260;0
1;4;01/01/1990 00:00;02308          ;0
1;4;01/01/1990 00:00;02320          ;0
1;4;01/01/1990 00:00;02388          ;0
1;4;01/01/1990 00:00;02436          ;0
1;4;01/01/1990 00:00;02511          ;0
1;4;01/01/1990 00:00;02790          ;0
1;4;01/01/1990 00:00;03063          ;0
1;4;01/01/1990 00:00;03495          ;0
1;4;01/01/1990 00:00;04887;0
1;4;01/01/1990 00:00;05013          ;0
1;4;01/01/1990 00:00;05350          ;0
1;4;01/01/1990 00:00;05803          ;0
1;4;01/01/1990 00:00;08687          ;0
1;4;01/01/1990 00:00;08796          ;0
1;4;01/01/1990 00:00;09146          ;0
1;4;01/01/1990 00:00;09321          ;0
1;4;01/01/1990 00:00;10041          ;0
1;4;01/01/1990 00:00;10594          ;0
1;4;01/01/1990 00:00;21429          ;0
1;4;01/01/1990 00:00;21500;0
1;4;01/01/1990 00:00;21504;0
1;4;01/01/1990 00:00;21599          ;0
1;4;01/01/1990 00:00;22120          ;0
1;4;01/01/1990 00:00;23247          ;0
1;4;01/01/1990 00:00;23250          ;0
1;4;01/01/1990 00:00;23282          ;0
1;4;01/01/1990 00:00;23796;0
1;4;01/01/1990 00:00;23987          ;0
1;4;01/01/1990 00:00;23997          ;0
1;4;01/01/1990 00:00;24855          ;0
1;4;01/01/1990 00:00;25253          ;0
1;4;01/01/1990 00:00;27982          ;0
1;4;01/01/1990 00:00;28014;0
1;4;01/01/1990 00:00;30512          ;0
1;4;01/01/1990 00:00;30787;0
1;4;01/01/1990 00:00;30788          ;0
1;4;01/01/1990 00:00;31133          ;0
1;4;01/01/1990 00:00;32434;0
1;4;01/01/1990 00:00;33096;0
1;4;01/01/1990 00:00;33970          ;0
1;4;01/01/1990 00:00;34448;0
1;4;01/01/1990 00:00;36320;0
1;4;01/01/1990 00:00;37434          ;0
1;4;01/01/1990 00:00;38319;0
1;4;01/01/1990 00:00;39252;0
1;4;01/01/1990 00:00;39320          ;0
1;4;01/01/1990 00:00;43285          ;0
1;4;01/01/1990 00:00;50627          ;0
1;4;01/01/1990 00:00;51289          ;0
1;4;01/01/1990 00:00;54495;0
1;4;01/01/1990 00:00;54505;0
1;4;01/01/1990 00:00;61903          ;0
1;4;01/01/1990 00:00;72227          ;0
1;4;01/01/1990 00:00;72845          ;0
1;4;01/01/1990 00:00;74847;0
1;4;01/01/1990 00:00;74961;0
1;4;01/01/1990 00:00;74962;0
1;24;01/01/1990 00:00;02327;0
1;24;01/01/1990 00:00;02753;0
1;24;01/01/1990 00:00;36752;0
1;32;01/01/1990 00:00;01696;0
1;32;01/01/1990 00:00;21599;0
1;34;02/08/2016 00:00;00482;120
1;34;02/08/2016 00:00;00483;16
1;34;01/01/1990 00:00;00530          ;0
1;34;01/01/1990 00:00;00531;0
1;34;02/08/2016 00:00;00533;5
1;34;02/08/2016 00:00;00534;10
1;34;02/08/2016 00:00;01208;5
1;34;02/08/2016 00:00;01209;5
1;34;02/08/2016 00:00;01210;4
1;34;02/08/2016 00:00;01211;7
1;34;02/08/2016 00:00;01212;4
1;34;01/01/1990 00:00;01270;0
1;34;02/08/2016 00:00;01320;15
1;34;01/01/1990 00:00;01408;0
1;34;02/08/2016 00:00;01552;4
1;34;02/08/2016 00:00;01604;12
1;34;02/08/2016 00:00;01639;16
1;34;02/08/2016 00:00;01659;7
1;34;02/08/2016 00:00;01663;29
1;34;02/08/2016 00:00;01685;27
1;34;02/08/2016 00:00;01687;7
1;34;02/08/2016 00:00;01690;3
1;34;02/08/2016 00:00;01691;2
1;34;02/08/2016 00:00;01695;7
1;34;02/08/2016 00:00;01697;80
1;34;02/08/2016 00:00;01704;10
1;34;02/08/2016 00:00;01720;3
1;34;02/08/2016 00:00;01752;66
1;34;02/08/2016 00:00;01907;175
1;34;02/08/2016 00:00;01908;34
1;34;01/01/1990 00:00;01910;0
1;34;01/01/1990 00:00;01911;0
1;34;02/08/2016 00:00;02790;4
1;34;02/08/2016 00:00;04712;2
1;34;02/08/2016 00:00;04801;9
1;34;02/08/2016 00:00;04887;45
1;34;02/08/2016 00:00;06921;680
1;34;01/01/1990 00:00;08696;0
1;34;01/01/1990 00:00;08697;0
1;34;02/08/2016 00:00;08816;2
1;34;02/08/2016 00:00;10085;1
1;34;01/01/1990 00:00;19403;0
1;34;01/01/1990 00:00;22000;0
1;34;02/08/2016 00:00;22087;6
1;34;02/08/2016 00:00;24998;2
1;34;01/01/1990 00:00;26198;0
1;34;02/08/2016 00:00;28023;27
1;34;02/08/2016 00:00;30266;3
1;34;02/08/2016 00:00;30309;5
1;34;02/08/2016 00:00;30342;56
1;34;01/01/1990 00:00;30764;0
1;34;02/08/2016 00:00;31002;10
1;34;02/08/2016 00:00;31095;92
1;34;02/08/2016 00:00;31438;15
1;34;01/01/1990 00:00;32017;0
1;34;01/01/1990 00:00;32218          ;0
1;34;01/01/1990 00:00;32224          ;0
