ID_EMPRESA;MATRICULA
1;000048
1;000065
1;000438
1;000462
1;000667
1;000710
1;000744
1;001340
1;001541
1;001988
1;002135
1;002144
1;002168
1;002431
1;002452
1;002520
1;002718
1;002753
1;002790
1;002935
1;003077
1;003543
1;003954
1;003989
1;004168
1;004171
1;004194
1;004199
1;004202
1;004223
1;004232
1;004338
1;004340
1;004389
1;004495
1;004524
1;004594
1;004754
1;004866
1;004924
1;004977
1;005000
1;005073
1;005388
1;006262
1;006345
1;006359
1;006378
1;006461
1;006603
1;006640
1;006909
1;007105
1;007286
1;007299
1;007454
1;007465
1;007542
1;007546
1;007636
1;007720
1;007753
1;007805
1;007930
1;007945
1;007955
1;007991
1;008016
1;008021
1;008026
1;008028
1;008041
1;008042
1;008045
1;008046
1;008047
1;008092
1;008155
1;008176
1;008182
1;008184
1;008225
1;008275
1;008337
1;008359
1;008417
1;008451
1;008528
1;008545
1;008563
1;008581
1;008601
1;008768
1;008860
1;008974
1;008977
1;008987
1;009022
1;009065
1;009095
1;009096
1;009180
1;009220
1;009241
1;009439
1;009489
1;009491
1;009540
1;009944
1;010078
1;010300
1;010411
1;010509
1;010513
1;010833
1;010956
1;010991
1;011058
1;011086
1;011110
1;011117
1;011118
1;011119
1;011124
1;011170
1;011172
1;011187
1;011372
1;011404
1;011441
1;011445
1;011530
1;011714
1;011809
1;011890
1;011946
1;011981
1;012080
1;012093
1;012135
1;012154
1;012159
1;012176
1;012199
1;012201
1;012211
1;012215
1;012233
1;012237
1;012238
1;012266
1;012273
1;012290
1;012321
1;012463
1;012476
1;012606
1;012607
1;012620
1;012621
1;012623
1;012665
1;012796
1;012896
1;012918
1;012920
1;012930
1;012971
1;012978
1;013013
1;013024
1;013103
1;013104
1;013337
1;013433
1;013585
1;013667
1;013788
1;013789
1;013795
1;013799
1;013824
1;013846
1;013871
1;013890
1;013983
1;013987
1;014000
1;014002
1;014028
1;014049
1;014053
1;014149
1;014154
1;014155
1;014156
1;014159
1;014170
1;014178
1;014261
1;014276
1;014358
1;014368
1;014401
1;014408
1;014419
1;014421
1;014423
1;014424
1;014429
1;014459
1;014461
1;014464
1;014505
1;014510
1;014587
1;014598
1;014621
1;014636
1;014637
1;014654
1;014711
1;014718
1;014734
1;014742
1;014746
1;014747
1;014779
1;014838
1;014846
1;014847
1;014848
1;014850
1;014879
1;014926
1;014934
1;014940
1;014955
1;014997
1;015084
1;015102
1;015110
1;015118
1;015126
1;015134
1;015147
1;015167
1;015212
1;015218
1;015221
1;015232
1;015240
1;015274
1;015300
1;015319
1;015343
1;015353
1;015366
1;015397
1;015407
1;015408
1;015453
1;015527
1;015532
1;015549
1;015550
1;015652
1;015675
1;015677
1;015710
1;015741
1;015747
1;015749
1;015795
1;015816
1;015817
1;015822
1;015838
1;015842
1;015857
1;015874
1;015879
1;015880
1;016017
1;016038
1;016054
1;016100
1;016113
1;016139
1;016236
1;016257
1;016262
1;016263
1;016286
1;016323
1;016324
1;016331
1;016370
1;016390
1;016401
1;016409
1;016422
1;016430
1;016504
1;016506
1;016598
1;016603
1;016742
1;016756
1;016758
1;016761
1;016780
1;016829
1;016844
1;016859
1;016905
1;016909
1;016918
1;016940
1;016943
1;016947
1;016972
1;016978
1;017039
1;017051
1;017073
1;017121
1;017126
1;017146
1;017166
1;017186
1;017188
1;017204
1;017237
1;017238
1;017239
1;017250
1;017269
1;017297
1;017313
1;017318
1;017322
1;017342
1;017344
1;017345
1;017350
1;017362
1;017444
1;017503
1;017548
1;017554
1;017576
1;017589
1;017596
1;017598
1;017638
1;017807
1;017875
1;017877
1;017998
1;018065
1;018067
1;018070
1;018075
1;018081
1;018082
1;018084
1;018085
1;018099
1;018110
1;018113
1;018179
1;018180
1;018182
1;018183
1;018189
1;018192
1;018195
1;018199
1;018208
1;018220
1;018222
1;018226
1;018227
1;018230
1;018241
1;018248
1;018296
1;018310
1;018355
1;018366
1;018369
1;018372
1;018376
1;018380
1;018382
1;018383
1;018385
1;018387
1;018391
1;018423
1;018424
1;018425
1;018426
1;018508
1;018525
1;018538
1;018543
1;018552
1;018562
1;018571
1;018588
1;018591
1;018599
1;018603
1;018616
1;018648
1;018650
1;018676
1;018678
1;018700
1;018704
1;018766
1;018786
1;018798
1;018809
1;018816
1;018834
1;018838
1;018872
1;018889
1;018892
1;018894
1;018903
1;018908
1;018912
1;018913
1;018922
1;018924
1;018943
1;018982
1;019009
1;019016
1;019017
1;019022
1;019036
1;019046
1;019073
1;019081
1;019113
1;019122
1;019123
1;019142
1;019172
1;019173
1;019185
1;019192
1;019225
1;019319
1;019330
1;019404
1;019415
1;019418
1;019456
1;019464
1;019465
1;019466
1;019467
1;019468
1;019470
1;019472
1;019487
1;019493
1;019503
1;019510
1;019513
1;019517
1;019519
1;019537
1;019546
1;019548
1;019580
1;019583
1;019981
1;019991
1;019992
1;019993
1;019994
1;019996
1;019997
1;020005
1;020006
1;020026
1;020062
1;020114
1;020116
1;020124
1;020161
1;020203
1;020208
1;020217
1;020240
1;020245
1;020247
1;020261
1;020263
1;020264
1;020265
1;020268
1;020271
1;020272
1;020273
1;020274
1;020276
1;020313
1;020326
1;020329
1;020331
1;020336
1;020340
1;020342
1;020343
1;020358
1;020378
1;020414
1;020450
1;020451
1;020452
1;020454
1;020457
1;020459
1;020511
1;020513
1;020515
1;020519
1;020523
1;020535
1;020537
1;020538
1;020539
1;020540
1;020541
1;020547
1;020548
1;020551
1;020552
1;020554
1;020555
1;020559
1;020561
1;020565
1;020566
1;020567
1;020571
1;020574
1;020575
1;020577
1;020580
1;020583
1;020585
1;020586
1;020588
1;020600
1;020601
