ID_EMPRESA;MATRICULA
1;000438
1;000744
1;004924
1;007955
1;008041
1;011117
1;011118
1;011119
1;011124
1;011372
1;012237
1;012273
1;012621
1;013024
1;013987
1;014178
1;014598
1;015795
1;017269
1;018552
1;018678
1;019173
1;019185
1;020670
1;020817
1;020884
1;021397
1;021550
1;021762
1;021917
1;022660
1;022874
1;023451
1;023773
1;024170
1;024426
1;025443
1;025842
1;026345
1;027058
1;027419
1;027563
1;027592
1;027864
1;028388
1;028857
1;028910
1;029872
1;029888
1;029901
1;029913
1;029992
1;029995
1;029996
1;030007
1;030023
1;030100
1;030108
1;030126
1;030292
1;030306
1;030311
1;030351
1;030423
1;030644
1;030703
1;030731
1;031118
1;031370
1;031562
1;031599
1;031978
1;031981
1;032075
1;032141
1;032195
1;032271
1;032633
1;032634
1;032636
1;032643
1;032727
1;032909
1;033131
1;033181
1;033466
1;033479
1;033480
1;033933
1;034002
1;034007
1;034024
1;034033
1;034034
1;034146
1;034190
1;034201
1;034226
1;034227
1;034245
1;034340
1;034368
1;034423
1;034424
1;034425
1;034426
1;034514
1;034516
1;034559
1;034560
1;034566
1;034712
1;034721
1;034909
1;035045
